Gene,WT_10,WT_12,WT_7,WT_8,mC4_4,mC4_5,mC4_6,mC4_7
ENSMUSG00000032769.5,46,46,48,23,28,44,70,32
ENSMUSG00000088159.1,0,0,0,0,0,0,0,0
ENSMUSG00000073737.3,7,17,5,8,5,9,6,6
ENSMUSG00000092083.4,2660,2134,3451,3046,2530,4464,3534,4372
ENSMUSG00000102937.1,0,1,0,4,0,0,0,0
ENSMUSG00000104149.1,2,0,1,0,0,2,0,0
ENSMUSG00000088829.1,0,0,0,0,0,0,0,0
ENSMUSG00000077377.1,0,0,0,0,0,0,0,0
ENSMUSG00000101652.1,1,1,0,0,0,0,0,0
ENSMUSG00000100814.1,0,0,0,0,0,0,0,0
ENSMUSG00000025925.14,520,523,746,508,577,895,777,771
ENSMUSG00000104379.1,10,13,10,5,14,14,14,7
ENSMUSG00000032719.4,11,4,12,19,4,15,16,14
ENSMUSG00000088943.1,0,0,0,0,0,0,0,0
ENSMUSG00000100652.1,0,0,0,0,0,0,0,0
ENSMUSG00000067795.13,26,4,18,22,16,17,29,14
ENSMUSG00000043716.13,15920,15358,20011,13846,17144,21473,22827,18957
ENSMUSG00000025921.7,586,537,564,512,756,815,964,773
ENSMUSG00000104165.1,12,9,5,8,6,6,18,11
ENSMUSG00000100868.1,1,5,6,1,4,3,9,6
ENSMUSG00000025920.19,14969,12158,16791,13121,15548,20839,20743,19845
ENSMUSG00000089982.7,0,0,0,0,0,1,2,0
ENSMUSG00000025939.18,5014,4114,5604,4557,6040,7805,7897,7165
ENSMUSG00000102457.1,34,33,30,25,14,43,44,62
ENSMUSG00000079658.9,10316,8708,11539,8671,10784,13717,13836,12402
ENSMUSG00000097744.1,1,0,0,1,0,0,0,0
ENSMUSG00000100959.1,0,0,0,4,0,2,0,0
ENSMUSG00000025940.6,1942,1753,2033,1679,2288,2785,3139,2652
ENSMUSG00000025779.10,56,28,42,27,99,57,59,59
ENSMUSG00000100093.1,0,0,0,0,0,0,0,0
ENSMUSG00000091020.3,4,13,11,15,10,15,18,17
ENSMUSG00000101640.1,0,0,1,0,0,0,0,0
ENSMUSG00000104133.1,0,0,0,0,0,0,0,0
ENSMUSG00000042686.5,1762,1397,2233,1737,1530,2026,2178,2085
ENSMUSG00000100110.1,4,3,2,0,2,3,0,0
ENSMUSG00000025777.8,12274,9715,13300,11475,12757,17176,17668,16861
ENSMUSG00000099899.1,3,6,5,2,2,4,8,2
ENSMUSG00000100272.1,0,0,0,0,0,0,0,0
ENSMUSG00000100398.1,0,0,0,0,0,0,0,0
ENSMUSG00000101589.1,4,2,13,6,5,4,16,6
ENSMUSG00000102048.1,2,0,0,1,1,0,0,2
ENSMUSG00000089534.1,0,0,0,0,0,0,0,0
ENSMUSG00000067780.3,22,8,22,18,45,18,36,17
ENSMUSG00000100053.1,1,5,9,6,4,9,4,1
ENSMUSG00000085125.7,16,17,11,21,20,17,19,22
ENSMUSG00000025776.13,402,241,469,482,557,321,414,429
ENSMUSG00000099895.1,7,2,4,3,2,4,6,5
ENSMUSG00000100554.1,0,0,4,2,0,0,0,0
ENSMUSG00000099473.1,2,0,0,1,0,0,0,2
ENSMUSG00000099591.1,8,3,2,2,7,6,6,7
ENSMUSG00000109887.1,90,83,121,86,95,142,127,158
ENSMUSG00000102001.1,0,0,0,0,0,0,0,0
ENSMUSG00000101717.2,0,0,0,0,0,0,0,0
ENSMUSG00000025774.14,0,0,0,0,0,0,0,0
ENSMUSG00000070977.4,0,0,0,0,0,0,0,0
ENSMUSG00000073735.1,0,0,0,0,0,0,0,1
ENSMUSG00000067773.6,4,2,0,0,0,0,2,0
ENSMUSG00000101685.1,0,0,0,0,0,0,0,3
ENSMUSG00000101306.1,0,0,0,0,0,0,0,0
ENSMUSG00000088800.1,0,0,0,0,0,0,0,0
ENSMUSG00000101644.1,0,0,0,0,0,0,0,0
ENSMUSG00000099433.1,0,0,0,0,0,0,0,0
ENSMUSG00000089787.2,1,3,3,2,0,4,6,1
ENSMUSG00000042596.7,53,6,21,70,46,38,86,96
ENSMUSG00000100720.1,1403,1328,1900,1434,1194,2253,1841,1694
ENSMUSG00000025927.13,104,100,123,221,265,175,214,154
ENSMUSG00000100538.1,0,0,0,0,0,0,0,0
ENSMUSG00000101117.1,0,0,0,0,0,0,0,0
ENSMUSG00000100204.1,5,2,0,2,3,3,4,2
ENSMUSG00000084668.1,0,0,0,0,0,0,0,0
ENSMUSG00000102597.1,0,0,0,0,0,0,0,0
ENSMUSG00000043760.16,17,6,15,9,18,48,26,24
ENSMUSG00000104095.1,0,0,0,2,0,1,0,0
ENSMUSG00000089914.2,43,18,41,45,31,68,72,67
ENSMUSG00000090142.2,4,4,9,0,2,3,8,7
ENSMUSG00000070175.1,0,0,0,0,0,0,0,0
ENSMUSG00000099906.2,0,0,0,0,0,0,0,0
ENSMUSG00000065559.1,0,0,0,0,0,0,0,0
ENSMUSG00000065480.1,0,0,0,0,0,0,0,0
ENSMUSG00000025929.4,0,0,0,0,0,0,0,0
ENSMUSG00000041872.9,2,0,0,0,0,0,0,0
ENSMUSG00000041859.10,195,126,149,120,186,252,242,239
ENSMUSG00000099714.1,0,0,0,1,0,2,0,1
ENSMUSG00000102121.1,0,0,0,0,0,1,0,2
ENSMUSG00000088858.1,0,0,0,0,0,0,0,0
ENSMUSG00000097934.1,10,7,12,13,5,11,1,1
ENSMUSG00000025931.15,11480,8993,13168,9790,14251,12467,17483,15834
ENSMUSG00000077314.1,0,0,0,0,0,0,0,0
ENSMUSG00000100929.1,10,2,3,4,11,5,14,3
ENSMUSG00000041809.5,58,61,56,79,74,44,69,60
ENSMUSG00000041779.5,116,83,136,135,216,204,171,169
ENSMUSG00000099971.1,0,0,0,0,0,0,0,0
ENSMUSG00000100819.1,12,16,25,22,32,35,32,28
ENSMUSG00000025933.15,3195,2222,3077,2610,1715,3679,2515,2355
ENSMUSG00000102633.1,8,8,2,3,4,2,6,1
ENSMUSG00000025934.15,29,45,38,26,37,43,35,24
ENSMUSG00000099343.1,17,27,20,11,21,23,10,22
ENSMUSG00000096375.2,11,8,0,6,2,3,7,5
ENSMUSG00000025936.15,0,0,0,0,0,2,0,0
ENSMUSG00000093963.1,0,0,0,0,0,0,0,0
ENSMUSG00000067750.3,0,0,6,2,1,0,1,0
ENSMUSG00000086194.1,0,0,0,0,0,0,0,0
ENSMUSG00000094436.1,0,0,1,0,0,4,0,0
ENSMUSG00000041722.7,0,3,4,2,0,6,3,0
